Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score_Numeric,Customer_Segment,Cluster,PCA1,PCA2
CUST0001,39,8,943.7708423935009,4,5,5,4.666666666666667,Champions,0,1.9793494660039193,0.3546785456323713
CUST0002,25,6,617.5317254115159,4,4,4,4.0,Champions,0,0.7621938071791131,-0.4514646405625035
CUST0003,38,5,548.8606916488864,4,3,3,3.3333333333333335,Loyal,0,0.25075207570225627,-0.5049476812463647
CUST0004,87,3,247.11787763708224,2,1,1,1.3333333333333333,Others,1,-1.2699972774343053,-0.5471923850317099
CUST0005,109,4,337.3411846868325,2,2,2,2.0,Others,1,-0.9094836479296062,-0.059507643910291494
CUST0006,100,4,523.0773190384444,2,2,3,2.3333333333333335,Others,1,-0.44360099333055314,0.06516009470172227
CUST0007,72,5,559.9084372987143,3,3,3,3.0,Loyal,1,0.08205729415651554,-0.09536905726686448
CUST0008,77,5,530.19327924288,3,3,3,3.0,Loyal,1,-0.012724151365235073,-0.07385651740095597
CUST0009,61,3,231.0294450041772,3,1,1,1.6666666666666667,Others,1,-1.1580537969066331,-0.869838799879303
CUST0010,178,5,557.3067709315343,1,3,3,2.3333333333333335,At Risk,1,-0.5265841920769646,1.1357847653378244
CUST0011,129,5,536.2846436745683,2,3,3,2.6666666666666665,At Risk,1,-0.2948530081091065,0.5392082960788955
CUST0012,60,9,965.1071979104096,3,5,5,4.333333333333333,Loyal,0,2.191744192138738,0.7456101133517974
CUST0013,20,6,586.1226307187316,4,4,3,3.6666666666666665,Loyal,0,0.7205012637495959,-0.5484947417456908
CUST0014,35,4,654.9987467448761,4,2,4,3.3333333333333335,New Customers,0,0.22060555445354282,-0.5287779641034404
CUST0015,48,5,346.1491258466327,3,3,2,2.6666666666666665,Loyal,1,-0.2587192446126136,-0.6389431796412816
CUST0016,88,2,192.70532093807734,2,1,1,1.3333333333333333,Others,1,-1.68135846350457,-0.7227992033543201
CUST0017,93,7,995.148186063514,2,4,5,3.6666666666666665,At Risk,0,1.5027722936103967,0.9269566943167894
CUST0018,347,2,143.1831747224085,1,1,1,1.0,Others,1,-3.264887135908912,2.232067767498269
CUST0019,7,11,1103.990274827222,5,5,5,5.0,Champions,0,3.371620030750804,0.5400655541726262
CUST0020,169,2,172.80062377308428,1,1,1,1.0,Others,1,-2.1864554403127325,0.1958525795016141
CUST0021,40,9,1200.7781642166374,4,5,5,4.666666666666667,Champions,0,2.8316759804534826,0.8038763450083126
CUST0022,64,8,1134.7927192240497,3,5,5,4.333333333333333,Loyal,0,2.263672338313331,0.881806090271907
CUST0023,203,5,678.8837871468821,1,3,4,2.6666666666666665,At Risk,1,-0.3973129844365406,1.5771148354258724
CUST0024,308,1,159.2750839040828,1,1,1,1.0,Others,1,-3.291346819258114,1.6777682504458913
CUST0025,3,7,660.0171591136494,5,4,4,4.333333333333333,Champions,0,1.266354053978979,-0.535138126648623
CUST0026,105,3,216.9402761604794,2,1,1,1.3333333333333333,Others,1,-1.4397435426406615,-0.37486641363984313
CUST0027,23,5,303.50580107282497,4,3,2,3.0,Loyal,1,-0.21175278472721307,-0.9827525502460894
CUST0028,51,5,567.2403493922667,3,3,3,3.0,Loyal,0,0.21785659168168195,-0.3308552816181399
CUST0029,62,8,909.6050112373911,3,5,5,4.333333333333333,Loyal,0,1.772263055268806,0.5803020653573207
CUST0030,86,3,659.0087627623409,2,1,4,2.3333333333333335,Others,1,-0.34466879752186363,-0.04995596956895786
CUST0031,129,3,285.14212227003594,2,1,1,1.3333333333333333,Others,1,-1.4239576094602318,-0.01112507972336292
CUST0032,20,5,352.2113187206054,4,3,2,3.0,Loyal,1,-0.08594518366242902,-0.957512987726393
CUST0033,66,2,267.29808632448373,3,1,1,1.6666666666666667,Others,1,-1.3896967006454963,-0.8868312245459216
CUST0034,91,4,528.4699956627542,2,2,3,2.3333333333333335,Others,1,-0.38037669364882004,-0.03298222185539466
CUST0035,56,5,548.954978403737,3,3,3,3.0,Loyal,0,0.1485947813913644,-0.29522151152225334
CUST0036,82,5,664.4060934081809,2,3,4,3.0,At Risk,0,0.25850140137797917,0.150185135495402
CUST0037,321,3,519.7878459503437,1,1,3,1.6666666666666667,Others,1,-1.99198024401624,2.5146107281562435
CUST0038,261,3,606.9536506490886,1,1,4,2.0,Others,1,-1.4561364479516616,1.9236030722882473
CUST0039,4,7,802.0224391129527,5,4,5,4.666666666666667,Champions,0,1.5777264860636548,-0.34804899648505316
CUST0040,126,6,842.8692680354206,2,4,5,3.6666666666666665,At Risk,0,0.6909146688216337,1.0030777452233064
CUST0041,19,7,918.5483240519367,5,4,5,4.666666666666667,Champions,0,1.7525908846256433,-0.029409301620924116
CUST0042,282,3,117.37115365390514,1,1,1,1.0,Others,1,-2.6686713788150196,1.563280162327848
CUST0043,80,8,966.2734051017732,2,5,5,4.0,At Risk,0,1.7964205005482237,0.8599241996208249
CUST0044,103,2,258.10771992630066,2,1,1,1.3333333333333333,Others,1,-1.6206390359328742,-0.4673213601518762
CUST0045,24,4,472.2931900230148,4,2,3,3.0,New Customers,1,-0.12476862428295275,-0.8826011412919293
CUST0046,73,2,150.20979363821579,3,1,1,1.6666666666666667,Others,1,-1.6909330179182662,-0.9499761510934328
CUST0047,335,5,466.757831861959,1,3,3,2.3333333333333335,At Risk,1,-1.6216303762761237,2.852175918328011
CUST0048,48,4,501.69599752296324,3,2,3,2.6666666666666665,Others,1,-0.195610491499594,-0.5667950973053331
CUST0049,200,4,277.4387508862274,1,2,1,1.3333333333333333,Others,1,-1.5607558011270415,0.9261777086981277
CUST0050,131,5,495.0500659826905,2,3,3,2.6666666666666665,At Risk,1,-0.39829291236831943,0.5115539200268034
CUST0051,294,4,589.8338341139424,1,2,4,2.3333333333333335,Others,1,-1.3978492010508066,2.4067627406793637
CUST0052,30,4,287.08138506587903,4,2,1,2.3333333333333335,New Customers,1,-0.5724192907311807,-1.0415560301805922
CUST0053,124,4,490.7157442265677,2,2,3,2.3333333333333335,Others,1,-0.6523460863563051,0.3046577125118937
