Customer_ID,Revenue,Orders,First,Last,Lifespan_Years,CLV
CUST0001,943.7708423935009,8,2022-02-14 00:00:00,2023-01-14 04:00:00,0.915068493150685,3094.0990192242016
CUST0002,617.5317254115159,6,2022-01-13 00:00:00,2023-01-28 14:00:00,1.0410958904109588,1779.466419277921
CUST0003,548.8606916488864,5,2022-03-28 21:00:00,2023-01-15 05:00:00,0.8,2058.227593683324
CUST0004,247.11787763708224,3,2022-02-25 11:00:00,2022-11-26 17:00:00,0.7506849315068493,987.5696204839601
CUST0005,337.3411846868325,4,2022-01-25 05:00:00,2022-11-04 19:00:00,0.7753424657534247,1305.2600608907476
CUST0006,523.0773190384444,4,2022-02-25 06:00:00,2022-11-14 07:00:00,0.7178082191780822,2186.143757049987
CUST0007,559.9084372987143,5,2022-03-15 05:00:00,2022-12-12 01:00:00,0.7424657534246575,2262.360659933919
CUST0008,530.19327924288,5,2022-02-20 13:00:00,2022-12-07 04:00:00,0.7917808219178082,2008.863808896033
CUST0009,231.0294450041772,3,2022-01-16 18:00:00,2022-12-23 14:00:00,0.9315068493150684,744.0507125869825
CUST0010,557.3067709315343,5,2022-02-11 18:00:00,2022-08-27 17:00:00,0.536986301369863,3113.525072296072
CUST0011,536.2846436745683,5,2022-03-05 23:00:00,2022-10-16 14:00:00,0.6136986301369863,2621.570021534162
CUST0012,965.1071979104096,9,2022-01-31 01:00:00,2022-12-24 14:00:00,0.8958904109589041,3231.7809838284356
CUST0013,586.1226307187316,6,2022-02-27 14:00:00,2023-02-02 11:00:00,0.9287671232876712,1893.2279664808589
CUST0014,654.9987467448761,4,2022-01-03 20:00:00,2023-01-18 00:00:00,1.0383561643835617,1892.41062713889
CUST0015,346.1491258466327,5,2022-01-06 12:00:00,2023-01-05 14:00:00,0.9972602739726028,1041.300254950722
CUST0016,192.70532093807734,2,2022-03-27 03:00:00,2022-11-26 06:00:00,0.6684931506849315,864.8046165048961
CUST0017,995.148186063514,7,2022-01-20 11:00:00,2022-11-20 17:00:00,0.8328767123287671,3584.4975780906175
CUST0018,143.1831747224085,2,2022-01-21 17:00:00,2022-03-12 05:00:00,0.13424657534246576,3199.7056392048435
CUST0019,1103.990274827222,11,2022-04-30 20:00:00,2023-02-15 01:00:00,0.7945205479452054,4168.515003226925
CUST0020,172.80062377308428,2,2022-01-23 11:00:00,2022-09-06 14:00:00,0.6191780821917808,837.2419603164924
CUST0021,1200.7781642166374,9,2022-01-03 13:00:00,2023-01-12 22:00:00,1.0246575342465754,3515.647298976519
CUST0022,1134.7927192240497,8,2022-01-02 10:00:00,2022-12-20 12:00:00,0.9643835616438357,3530.1080328134503
CUST0023,678.8837871468821,5,2022-01-29 00:00:00,2022-08-03 00:00:00,0.5095890410958904,3996.6545533647086
CUST0024,159.2750839040828,1,2022-04-20 07:00:00,2022-04-20 07:00:00,0.1,4778.252517122484
CUST0025,660.0171591136494,7,2022-02-22 18:00:00,2023-02-19 04:00:00,0.989041095890411,2001.9911058987427
CUST0026,216.9402761604794,3,2022-07-03 19:00:00,2022-11-09 07:00:00,0.3506849315068493,1855.856268716601
CUST0027,303.50580107282497,5,2022-01-19 16:00:00,2023-01-29 20:00:00,1.0273972602739727,886.2369391326488
CUST0028,567.2403493922667,5,2022-02-21 01:00:00,2023-01-01 21:00:00,0.8602739726027397,1978.1152311609303
CUST0029,909.6050112373911,8,2022-02-05 19:00:00,2022-12-22 11:00:00,0.873972602739726,3122.3118724292895
CUST0030,659.0087627623409,3,2022-11-05 15:00:00,2022-11-28 12:00:00,0.1,19770.262882870225
CUST0031,285.14212227003594,3,2022-07-29 16:00:00,2022-10-16 12:00:00,0.2136986301369863,4002.956716483197
CUST0032,352.2113187206054,5,2022-03-11 19:00:00,2023-02-01 19:00:00,0.8958904109589041,1179.4232232387244
CUST0033,267.29808632448373,2,2022-08-09 04:00:00,2022-12-18 13:00:00,0.3589041095890411,2234.285530727555
CUST0034,528.4699956627542,4,2022-02-14 10:00:00,2022-11-23 07:00:00,0.7698630136986301,2059.340374557708
